,State,319,325,332,339
0,Washington,177447,18175,18628,19818
1,Illinois,787573,60678,54935,45428
2,California,1366673,145108,176977,203619
3,Arizona,364276,36698,43379,47927
4,Massachusetts,256844,25025,26992,25212
5,Wisconsin,441067,28760,25140,19439
6,Texas,1322738,90255,100545,103849
7,Nebraska,139834,12824,13473,13012
8,Utah,215407,18901,20414,19096
9,Oregon,84496,12049,14379,16378
10,Florida,1058074,73054,84736,93848
11,New York,705827,69309,83274,92881
12,Rhode Island,62137,7148,7257,6895
13,Georgia,501405,35272,43940,49430
14,New Hampshire,24771,4351,4834,5006
15,North Carolina,394990,35365,42261,48266
16,New Jersey,368016,34010,35910,35251
17,Colorado,260581,31590,29763,25940
18,Maryland,215027,19604,22502,24467
19,Nevada,168140,18262,19672,20255
20,Tennessee,400594,37765,40852,43886
21,Hawaii,18842,694,704,667
22,Indiana,381617,46009,47856,45563
23,Kentucky,200631,25412,28621,30053
24,Minnesota,350862,38837,35572,31329
25,Oklahoma,216486,22716,24472,24915
26,Pennsylvania,423100,65276,74044,77345
27,South Carolina,232099,16329,20780,24038
28,District of Columbia,23136,1987,2479,2909
29,Kansas,171364,16308,15438,14168
30,Missouri,329420,25342,24432,21756
31,Vermont,5015,898,1060,1086
32,Virginia,255053,20994,23497,25835
33,Connecticut,127715,12341,12955,12752
34,Iowa,244691,13644,11578,9024
35,Louisiana,251123,17118,18653,19577
36,Ohio,475024,66840,69829,69026
37,Michigan,426576,50905,51447,47873
38,South Dakota,85991,5721,5140,4298
39,Arkansas,170924,15419,17900,18997
40,Delaware,39912,4915,5783,6509
41,Mississippi,164931,14385,17301,19098
42,New Mexico,108088,13087,11896,10313
43,North Dakota,82981,3696,2719,1906
44,Wyoming,36317,3522,2952,2391
45,Alaska,37036,4578,4663,4375
46,Maine,13348,1818,2103,2136
47,Alabama,269877,23828,28658,31710
48,Idaho,110510,10469,11098,11011
49,Montana,67875,5796,5214,4441
50,Puerto Rico,56671,NaN,NaN,NaN
51,Virgin Islands,1633,NaN,NaN,NaN
52,Guam,6959,NaN,NaN,NaN
53,West Virginia,54997,8398,9091,9273
54,Northern Mariana Islands,109,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
