,State,340,346,353,360
0,Washington,236719,15670,16445,16824
1,Illinois,937909,42898,37742,34496
2,California,2156389,333383,355652,381084
3,Arizona,494337,50671,54337,57649
4,Massachusetts,352736,27924,24782,22817
5,Wisconsin,508580,18164,14817,13464
6,Texas,1690986,106532,103335,111902
7,Nebraska,161974,6382,5493,5068
8,Utah,264874,15722,14631,13593
9,Oregon,109725,8401,8121,8534
10,Florida,1271979,82321,85282,90870
11,New York,922145,87236,94003,99295
12,Rhode Island,82066,5076,4289,4311
13,Georgia,632299,55436,60614,66475
14,New Hampshire,40809,4856,4480,4438
15,North Carolina,516828,44066,46039,48560
16,New Jersey,461221,31533,30979,29638
17,Colorado,325018,18498,16799,15598
18,Maryland,267198,17792,18323,18533
19,Nevada,217509,15352,14531,14560
20,Tennessee,564080,59477,58991,60945
21,Hawaii,21350,995,1042,1145
22,Indiana,493841,36545,34666,33114
23,Kentucky,257062,18466,17911,18040
24,Minnesota,409061,13368,10787,9647
25,Oklahoma,279139,23450,22942,23763
26,Pennsylvania,613272,64794,63501,63749
27,South Carolina,296179,21968,22426,24255
28,District of Columbia,28202,1603,1563,1615
29,Kansas,212989,12629,11007,11342
30,Missouri,391946,20174,18801,18284
31,Vermont,7029,835,934,1070
32,Virginia,333576,29036,31011,33890
33,Connecticut,172743,11704,10480,10604
34,Iowa,275299,9535,8105,7564
35,Louisiana,299722,16616,15636,16801
36,Ohio,670525,58052,55877,55642
37,Michigan,516326,24622,22458,20745
38,South Dakota,97390,2837,2332,2062
39,Arkansas,214877,16572,16517,17119
40,Delaware,55057,5260,5501,5735
41,Mississippi,206388,14650,14447,14930
42,New Mexico,137968,9115,8484,8010
43,North Dakota,91464,1515,1197,972
44,Wyoming,43200,2065,1864,1828
45,Alaska,45781,2232,1958,1844
46,Maine,21880,3844,4300,5017
47,Alabama,345628,28965,29401,31561
48,Idaho,136215,7515,6833,6788
49,Montana,79780,3277,2867,2717
50,Puerto Rico,73227,NaN,NaN,NaN
51,Virgin Islands,1979,NaN,NaN,NaN
52,Guam,7266,NaN,NaN,NaN
53,West Virginia,80710,10713,11442,12037
54,Northern Mariana Islands,122,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
