,State,193,199,206,213
0,Washington,58173,5696,5872,5587
1,Illinois,183224,12911,16427,21062
2,California,512175,59000,59633,55780
3,Arizona,178467,14929,13145,9934
4,Massachusetts,112109,3205,3955,4695
5,Wisconsin,54924,6986,7471,7946
6,Texas,448145,49782,48033,39313
7,Nebraska,26702,2522,3122,4043
8,Utah,41175,3037,2444,1928
9,Oregon,19097,2344,2309,2087
10,Florida,487132,63081,55666,44872
11,New York,416298,4657,4911,5107
12,Rhode Island,19022,772,1094,1369
13,Georgia,193177,26523,26852,25746
14,New Hampshire,6634,247,313,409
15,North Carolina,128450,12307,12071,11190
16,New Jersey,182350,3279,3773,4160
17,Colorado,47709,4195,4472,4885
18,Maryland,90274,8033,10363,13164
19,Nevada,50205,7521,7129,6464
20,Tennessee,109627,17602,19744,20431
21,Hawaii,2242,694,1074,1467
22,Indiana,67857,6698,7882,9263
23,Kentucky,31185,4996,6022,7035
24,Minnesota,55947,5546,6008,6601
25,Oklahoma,38225,8462,10385,11612
26,Pennsylvania,118033,6560,7284,7851
27,South Carolina,91788,9752,8699,6938
28,District of Columbia,12274,298,268,241
29,Kansas,27871,2677,2469,2206
30,Missouri,52184,13435,18987,24830
31,Vermont,1426,28,21,15
32,Virginia,91782,7948,8587,9560
33,Connecticut,49810,1185,1603,1978
34,Iowa,45723,3420,3478,3364
35,Louisiana,119747,12974,9030,7622
36,Ohio,93031,9157,9431,9135
37,Michigan,91758,5680,6816,7496
38,South Dakota,8955,659,806,1019
39,Arkansas,43810,5427,5396,5183
40,Delaware,14949,678,666,628
41,Mississippi,60553,10261,12384,13933
42,New Mexico,21016,2012,1975,1943
43,North Dakota,6660,998,1260,1506
44,Wyoming,2808,362,381,386
45,Alaska,3280,1046,1356,1789
46,Maine,3958,149,163,176
47,Alabama,91444,12554,11631,10805
48,Idaho,21110,2913,3071,2611
49,Montana,4193,1044,1154,1178
50,Puerto Rico,18411,NaN,NaN,NaN
51,Virgin Islands,421,NaN,NaN,NaN
52,Guam,368,NaN,NaN,NaN
53,West Virginia,6858,1152,1329,1453
54,Northern Mariana Islands,45,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
