,State,221,227,234,241,248,255
0,Washington,74320,3099,2767,2470,2204,1966
1,Illinois,235058,18202,20444,22915,25625,28583
2,California,705951,33234,29805,26709,23919,21407
3,Arizona,201661,2166,1461,986,665,448
4,Massachusetts,120568,2860,2987,3118,3253,3393
5,Wisconsin,75337,4640,4417,4202,3995,3795
6,Texas,629570,36684,33421,30412,27644,25103
7,Nebraska,34046,2427,2602,2784,2973,3170
8,Utah,51854,1974,1764,1576,1408,1257
9,Oregon,26554,1690,1603,1521,1442,1367
10,Florida,621586,22988,18972,15645,12893,10619
11,New York,434100,4670,4673,4674,4675,4674
12,Rhode Island,21683,884,961,1045,1134,1229
13,Georgia,268973,15941,14586,13327,12161,11083
14,New Hampshire,7254,48,29,20,15,12
15,North Carolina,171487,8442,7873,7336,6830,6355
16,New Jersey,191611,2798,2897,2998,3101,3206
17,Colorado,57203,1631,1402,1205,1035,889
18,Maryland,107791,3311,2935,2601,2303,2039
19,Nevada,68908,3611,3179,2796,2456,2156
20,Tennessee,153115,7928,6945,6079,5316,4645
21,Hawaii,8339,1848,1976,2109,2247,2390
22,Indiana,93313,7021,7303,7587,7871,8154
23,Kentucky,48031,4461,4555,4645,4731,4812
24,Minnesota,75189,4434,4362,4286,4209,4129
25,Oklahoma,58119,3961,3624,3312,3025,2760
26,Pennsylvania,138134,4278,3986,3712,3455,3216
27,South Carolina,118324,4678,4029,3468,2983,2564
28,District of Columbia,13959,348,322,298,275,254
29,Kansas,41761,3581,3678,3773,3864,3951
30,Missouri,84474,7106,6761,6424,6098,5782
31,Vermont,1616,64,69,74,79,85
32,Virginia,119729,5973,5674,5387,5110,4845
33,Connecticut,52495,931,985,1041,1101,1163
34,Iowa,64599,7504,9379,11673,14450,17769
35,Louisiana,147867,3337,2536,1926,1463,1110
36,Ohio,122260,6234,5846,5478,5132,4805
37,Michigan,112526,5545,5677,5809,5940,6070
38,South Dakota,13322,3048,3085,3421,3706,4005
39,Arkansas,60856,2942,2593,2283,2009,1767
40,Delaware,17343,521,489,458,430,403
41,Mississippi,82676,3911,3374,2908,2504,2154
42,New Mexico,25283,734,620,524,443,374
43,North Dakota,11702,1809,2156,2559,3024,3554
44,Wyoming,3829,259,255,250,246,241
45,Alaska,5226,404,369,336,306,278
46,Maine,4514,84,77,70,64,59
47,Alabama,125235,5523,4748,4078,3500,3001
48,Idaho,31858,2254,2084,1924,1774,1635
49,Montana,7340,818,827,834,842,848
50,Puerto Rico,32848,3431,3319,3210,3103,3000
51,Virgin Islands,1129,NaN,NaN,NaN,NaN,NaN
52,Guam,1287,NaN,NaN,NaN,NaN,NaN
53,West Virginia,10109,680,638,598,560,525
54,Northern Mariana Islands,56,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
