,State,291,297
0,Washington,117331,10233
1,Illinois,487987,77764
2,California,972713,44024
3,Arizona,259264,13623
4,Massachusetts,171399,14533
5,Wisconsin,281910,43139
6,Texas,1003478,69906
7,Nebraska,83969,14908
8,Utah,132621,19299
9,Oregon,50448,5666
10,Florida,843897,36170
11,New York,529036,21252
12,Rhode Island,36380,3876
13,Georgia,406061,11638
14,New Hampshire,12488,1492
15,North Carolina,293339,17346
16,New Jersey,254595,17489
17,Colorado,130984,25937
18,Maryland,153996,9547
19,Nevada,110022,9400
20,Tennessee,281851,20949
21,Hawaii,16179,912
22,Indiana,210374,33321
23,Kentucky,120838,13941
24,Minnesota,180862,31719
25,Oklahoma,136258,13293
26,Pennsylvania,235014,23563
27,South Carolina,185688,8057
28,District of Columbia,18001,777
29,Kansas,104622,14640
30,Missouri,212869,27494
31,Vermont,2392,274
32,Virginia,192175,10133
33,Connecticut,78125,8068
34,Iowa,154778,27090
35,Louisiana,192981,4644
36,Ohio,250268,35191
37,Michigan,229073,36740
38,South Dakota,55404,7794
39,Arkansas,121866,9041
40,Delaware,26603,1655
41,Mississippi,126689,6275
42,New Mexico,54881,8428
43,North Dakota,54305,11325
44,Wyoming,17310,3225
45,Alaska,19826,3564
46,Maine,7693,1372
47,Alabama,204665,11043
48,Idaho,72961,8941
49,Montana,39679,6885
50,Puerto Rico,38100,7325
51,Virgin Islands,1405,37
52,Guam,5077,567
53,West Virginia,28404,3532
54,Northern Mariana Islands,100,10
55,American Samoa,0,NaN
