,State,235,241,248,255,262,269
0,Washington,79826,2339,2068,1829,1616,1428
1,Illinois,263459,20212,22313,24578,27008,29598
2,California,761728,25508,22679,20152,17898,15888
3,Arizona,208512,1207,839,582,404,281
4,Massachusetts,124826,3039,3166,3296,3430,3567
5,Wisconsin,89185,4905,4784,4661,4538,4415
6,Texas,681885,26641,23791,21227,18926,16864
7,Nebraska,38188,2543,2694,2850,3009,3172
8,Utah,57875,3423,3786,4183,4613,5079
9,Oregon,29337,1418,1334,1255,1179,1109
10,Florida,663994,14750,12068,9868,8066,6591
11,New York,444365,4649,4645,4641,4635,4627
12,Rhode Island,22905,864,919,976,1036,1098
13,Georgia,294314,12065,10870,9783,8796,7902
14,New Hampshire,7696,53,33,20,13,9
15,North Carolina,189768,8160,7692,7245,6818,6412
16,New Jersey,196634,2939,3045,3154,3265,3379
17,Colorado,61293,1332,1161,1012,882,769
18,Maryland,116110,2936,2648,2388,2152,1939
19,Nevada,73537,2460,2127,1838,1587,1370
20,Tennessee,171824,6889,6126,5444,4833,4288
21,Hawaii,10700,1458,1427,1394,1361,1328
22,Indiana,105804,6968,7137,7301,7459,7611
23,Kentucky,56945,4695,4789,4878,4963,5042
24,Minnesota,84311,5465,5605,5742,5876,6005
25,Oklahoma,69354,4664,4518,4371,4224,4077
26,Pennsylvania,149184,4757,4637,4519,4402,4287
27,South Carolina,131864,3778,3281,2848,2470,2142
28,District of Columbia,14592,281,257,236,216,197
29,Kansas,48766,4173,4330,4485,4637,4785
30,Missouri,103997,8050,7907,7756,7596,7430
31,Vermont,1684,39,38,37,36,35
32,Virginia,133742,6409,6280,6148,6014,5878
33,Connecticut,54326,975,1023,1073,1126,1180
34,Iowa,74676,8850,10347,12044,13946,16052
35,Louisiana,157455,2196,1696,1310,1011,780
36,Ohio,137405,6702,6483,6268,6056,5849
37,Michigan,123058,5674,5786,5897,6006,6112
38,South Dakota,16638,2453,2703,2973,3255,3547
39,Arkansas,70219,3081,2841,2618,2410,2217
40,Delaware,18849,508,483,460,438,416
41,Mississippi,89874,3142,2740,2387,2077,1807
42,New Mexico,26761,519,437,368,310,261
43,North Dakota,15577,2636,3137,3712,4364,5089
44,Wyoming,4346,233,226,220,213,207
45,Alaska,6268,397,371,347,324,302
46,Maine,4863,187,198,211,224,238
47,Alabama,138755,5119,4530,4005,3537,3122
48,Idaho,35279,1683,1526,1383,1253,1134
49,Montana,9021,866,877,888,898,908
50,Puerto Rico,37380,1716,1439,1207,1012,848
51,Virgin Islands,1220,NaN,NaN,NaN,NaN,NaN
52,Guam,1863,NaN,NaN,NaN,NaN,NaN
53,West Virginia,12705,1027,1055,1083,1111,1139
54,Northern Mariana Islands,60,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
