,State,347,353
0,Washington,255396,23253
1,Illinois,979821,39515
2,California,2426930,244305
3,Arizona,556384,52492
4,Massachusetts,387662,35452
5,Wisconsin,526245,15666
6,Texas,1810320,121433
7,Nebraska,169000,6210
8,Utah,283473,18516
9,Oregon,117745,7640
10,Florida,1365436,89842
11,New York,1023897,98617
12,Rhode Island,87949,5631
13,Georgia,690900,62149
14,New Hampshire,46450,6384
15,North Carolina,564924,54148
16,New Jersey,492042,30668
17,Colorado,341250,14703
18,Maryland,285319,18076
19,Nevada,231614,12482
20,Tennessee,608297,58502
21,Hawaii,22303,1110
22,Indiana,526071,32153
23,Kentucky,276825,15989
24,Minnesota,420544,10740
25,Oklahoma,304072,19268
26,Pennsylvania,664913,52252
27,South Carolina,321669,24145
28,District of Columbia,29764,1847
29,Kansas,230314,14508
30,Missouri,412838,20752
31,Vermont,7793,769
32,Virginia,363765,31287
33,Connecticut,190120,14917
34,Iowa,284715,11096
35,Louisiana,321058,17129
36,Ohio,721481,50362
37,Michigan,538121,17178
38,South Dakota,100532,2996
39,Arkansas,233475,15772
40,Delaware,59484,4295
41,Mississippi,222061,16847
42,New Mexico,146394,7225
43,North Dakota,93041,1559
44,Wyoming,44875,1276
45,Alaska,48098,3251
46,Maine,25592,3788
47,Alabama,371934,24567
48,Idaho,142507,5684
49,Montana,82381,1767
50,Puerto Rico,78169,3453
51,Virgin Islands,2042,45
52,Guam,7326,50
53,West Virginia,91058,9793
54,Northern Mariana Islands,122,0
55,American Samoa,0,0
