,State,214,220,227,234,241,248
0,Washington,71012,5336,5512,5598,5572,5432
1,Illinois,221594,13456,14123,14379,14228,13750
2,California,669280,45487,45333,44132,41983,39283
3,Arizona,198103,4063,3636,3323,3047,2768
4,Massachusetts,118237,1607,1694,1782,1880,1969
5,Wisconsin,70462,6575,6565,6448,6235,5942
6,Texas,594035,35058,32578,29901,27135,24363
7,Nebraska,31889,1677,1692,1674,1622,1547
8,Utah,49115,2268,2121,1982,1838,1701
9,Oregon,24937,3481,3584,3627,3613,3550
10,Florida,600571,27968,25043,22281,19725,17371
11,New York,429737,7163,8417,9940,11556,13060
12,Rhode Island,21022,357,503,627,724,804
13,Georgia,253949,14349,13497,12518,11405,10264
14,New Hampshire,7107,257,282,310,341,372
15,North Carolina,160106,10697,10174,9569,8883,8166
16,New Jersey,189494,3315,3540,3761,3968,4132
17,Colorado,55123,3145,3299,3426,3515,3548
18,Maryland,104102,4261,4162,4014,3840,3648
19,Nevada,65601,3196,2867,2549,2245,1972
20,Tennessee,143937,10417,9899,9227,8465,7679
21,Hawaii,6600,2183,2355,2471,2433,2239
22,Indiana,85932,7219,7725,8065,8192,8077
23,Kentucky,43066,4052,4593,5423,6195,6605
24,Minnesota,69584,4983,4940,4835,4673,4460
25,Oklahoma,53165,6666,6535,6272,5936,5529
26,Pennsylvania,133679,7640,8668,9712,10582,11185
27,South Carolina,111988,4101,3553,3228,2974,2715
28,District of Columbia,13590,402,414,421,423,420
29,Kansas,37658,4456,4429,4288,4076,3810
30,Missouri,75783,9015,9098,8942,8562,8041
31,Vermont,1557,125,141,158,174,185
32,Virginia,112960,7106,7373,7484,7467,7293
33,Connecticut,51519,1052,1087,1110,1129,1141
34,Iowa,56446,3435,3398,3305,3156,2979
35,Louisiana,142943,4295,3986,3721,3447,3153
36,Ohio,114802,11124,11332,11346,11178,10836
37,Michigan,106808,8099,8747,9299,9671,9853
38,South Dakota,11276,431,403,374,347,320
39,Arkansas,56574,3729,3599,3411,3182,2933
40,Delaware,16895,539,519,498,475,452
41,Mississippi,77894,4560,4209,3825,3449,3075
42,New Mexico,24396,1149,1181,1210,1215,1193
43,North Dakota,9876,889,861,812,753,684
44,Wyoming,3578,342,363,378,384,382
45,Alaska,4741,924,925,903,864,812
46,Maine,4336,245,287,335,379,418
47,Alabama,115060,6857,6331,5769,5221,4686
48,Idaho,29845,3321,3246,3084,2866,2612
49,Montana,6429,915,939,944,930,902
50,Puerto Rico,29896,1105,1223,1322,1384,1410
51,Virgin Islands,980,31,33,33,33,33
52,Guam,767,27,33,38,37,33
53,West Virginia,9273,1287,1477,1655,1781,1825
54,Northern Mariana Islands,54,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
