,State,361,367
0,Washington,289939,23907
1,Illinois,1068829,33772
2,California,2991731,311300
3,Arizona,673882,52999
4,Massachusetts,470140,23926
5,Wisconsin,568166,12934
6,Texas,2127111,176000
7,Nebraska,181978,5576
8,Utah,323837,10987
9,Oregon,133205,9772
10,Florida,1571279,91419
11,New York,1242561,95425
12,Rhode Island,104443,5595
13,Georgia,815995,59351
14,New Hampshire,56864,4490
15,North Carolina,674637,62970
16,New Jersey,627221,45180
17,Colorado,374981,11170
18,Maryland,326445,20642
19,Nevada,261573,11586
20,Tennessee,685321,30595
21,Hawaii,24595,1119
22,Indiana,590211,19412
23,Kentucky,326674,18629
24,Minnesota,446380,6879
25,Oklahoma,354979,31521
26,Pennsylvania,770985,39123
27,South Carolina,388184,34301
28,District of Columbia,33851,2285
29,Kansas,258354,13212
30,Missouri,449379,16213
31,Vermont,10057,1368
32,Virginia,439305,35401
33,Connecticut,223422,22293
34,Iowa,305151,6901
35,Louisiana,368980,26707
36,Ohio,826754,42309
37,Michigan,581785,13931
38,South Dakota,105544,1860
39,Arkansas,271154,18683
40,Delaware,70294,5561
41,Mississippi,252475,11407
42,New Mexico,163637,6162
43,North Dakota,95864,679
44,Wyoming,49363,3535
45,Alaska,51938,1314
46,Maine,33559,4400
47,Alabama,422598,15082
48,Idaho,155554,5019
49,Montana,89393,3587
50,Puerto Rico,87381,4634
51,Virgin Islands,2260,89
52,Guam,7474,92
53,West Virginia,108821,6547
54,Northern Mariana Islands,128,0
55,American Samoa,0,0
