,State,172,178,185,192
0,Washington,40656,5314,4489,4864
1,Illinois,155048,9029,12347,15852
2,California,324543,76262,107796,141371
3,Arizona,122467,28827,32625,34437
4,Massachusetts,106675,1585,1903,2292
5,Wisconsin,36448,6313,8731,11757
6,Texas,262762,81904,112684,148498
7,Nebraska,21172,1263,1443,1642
8,Utah,29484,4962,5661,6193
9,Oregon,12170,2566,3134,3852
10,Florida,269811,96417,119469,155663
11,New York,401706,4768,5105,5770
12,Rhode Island,17312,305,422,531
13,Georgia,116935,27950,37616,47814
14,New Hampshire,6054,137,111,93
15,North Carolina,88316,13623,15208,16391
16,New Jersey,175298,2026,1970,2101
17,Colorado,36895,3366,4824,6300
18,Maryland,73109,3679,4228,5194
19,Nevada,27683,7295,9239,11748
20,Tennessee,61960,15246,21639,29107
21,Hawaii,1220,247,318,339
22,Indiana,51612,4256,5490,7175
23,Kentucky,19389,3144,4677,6251
24,Minnesota,42281,4495,6071,7976
25,Oklahoma,20235,5450,7746,10392
26,Pennsylvania,99794,6249,8554,11156
27,South Carolina,56648,15052,17655,20496
28,District of Columbia,10847,386,514,625
29,Kansas,18981,3794,5411,7349
30,Missouri,27880,4961,7359,9751
31,Vermont,1296,51,36,26
32,Virginia,70670,5450,6381,7727
33,Connecticut,47287,408,479,494
34,Iowa,35410,4651,5923,7869
35,Louisiana,78122,14444,19069,22186
36,Ohio,65592,10887,14687,19501
37,Michigan,76776,4733,6461,8253
38,South Dakota,7499,433,491,531
39,Arkansas,28367,5088,6039,6390
40,Delaware,12804,906,1088,1356
41,Mississippi,36287,6687,7948,9425
42,New Mexico,15028,2137,2725,3586
43,North Dakota,4334,645,891,1200
44,Wyoming,1862,255,304,339
45,Alaska,1479,452,503,579
46,Maine,3539,126,92,68
47,Alabama,53587,12050,15146,19120
48,Idaho,10903,4110,5815,7787
49,Montana,1758,678,977,1330
50,Puerto Rico,9654,NaN,NaN,NaN
51,Virgin Islands,181,NaN,NaN,NaN
52,Guam,310,NaN,NaN,NaN
53,West Virginia,4244,1118,1671,2264
54,Northern Mariana Islands,33,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
