347,353,360,367,374
2.4675e+05,13917,12924,12160,10480
9.7535e+05,43071,41585,38899,40758
2.3886e+06,2.0318e+05,1.8374e+05,1.5928e+05,1.5267e+05
5.3915e+05,39272,32303,28230,33590
3.8418e+05,37838,34108,33097,33866
5.2365e+05,16813,19352,16257,14625
1.7935e+06,94759,95817,96229,1.0685e+05
1.6826e+05,7306.3,7429.4,7329.3,6105.4
2.8165e+05,16715,15345,14501,16331
1.1635e+05,10546,10841,11847,12281
1.3548e+06,1.1219e+05,1.1537e+05,1.1333e+05,1.1655e+05
1.0117e+06,96176,98635,95054,89638
87949,3454.2,2951.5,2673.4,2661
6.8512e+05,55773,51366,54384,54964
45206,5971,5711.2,6041.3,6076.5
5.5844e+05,55268,56771,56642,55903
4.8837e+05,30134,27774,28594,27079
3.3917e+05,16652,19346,17376,13178
2.8317e+05,21655,21230,22060,23653
2.3047e+05,13819,10737,10468,9670.7
6.0413e+05,31171,31269,26196,25587
22181,1057,1029.6,1079.3,1107.5
5.2309e+05,22640,21571,21941,19620
2.7397e+05,23327,22654,22075,21587
4.1783e+05,15527,16536,15845,13690
2.9606e+05,18855,16065,15161,13498
6.6058e+05,49923,48264,46274,41216
3.1272e+05,17323,17498,18417,19235
29509,2002.4,2115.9,2350.8,2301.6
2.3031e+05,14280,13644,13187,12977
4.1031e+05,20657,21590,22215,21831
7689,876.91,941.48,904.19,958.92
3.5876e+05,25386,25738,25306,24942
1.9012e+05,11114,11736,11041,9781.4
2.839e+05,8827.7,10300,9614.2,8541.1
3.1528e+05,16003,15708,14542,13288
7.1467e+05,47412,39425,40399,41978
5.3812e+05,29486,31849,32648,37181
99829,3357.5,3238.3,3037.3,2913.5
2.3144e+05,15601,13799,12047,12770
58873,4236.4,3544.3,3415.2,3407.6
2.2028e+05,14028,12716,12689,11231
1.4538e+05,6905.1,6756.1,7510,7350.1
92891,2554.6,2346.2,2206.1,1927.9
44573,1791.8,2033.9,2096.4,1872.6
47801,2548.3,2761,2778.1,3024
25245,3213.9,3266.7,3390.8,3328.1
3.6946e+05,25289,23748,20018,20203
1.422e+05,6104.2,5395.9,5857.2,5603
81944,2948.3,2349.4,2047.4,1824.7
77932,5884.6,5792.7,5638.3,5701.4
2041,68.406,54.336,49.789,46.366
7326,105.58,102.19,90.836,77.873
89327,8487.5,7608.8,7410.4,7321.2
122,3.9341,3.9827,4.2519,4.0719
0,0.085807,0.11771,0.085807,0.11771
