,State,186,192,199,206
0,Washington,52635,6907,7757,8666
1,Illinois,172663,11633,15296,20923
2,California,452288,68609,76800,80591
3,Arizona,162014,17783,15997,12730
4,Massachusetts,110037,2482,3062,4180
5,Wisconsin,48827,7910,9720,12150
6,Texas,394084,68872,74997,74873
7,Nebraska,24618,2234,3221,4369
8,Utah,37973,4282,4428,4210
9,Oregon,16758,2026,1761,1569
10,Florida,423855,84821,88569,86436
11,New York,411736,5209,5986,6848
12,Rhode Island,18224,434,588,732
13,Georgia,167953,29990,35117,38970
14,New Hampshire,6436,255,393,536
15,North Carolina,115718,14215,15029,15081
16,New Jersey,179363,2456,3104,4075
17,Colorado,44318,5317,7663,10472
18,Maryland,83748,7773,11073,15130
19,Nevada,42843,8958,9598,10247
20,Tennessee,93936,19186,20578,23394
21,Hawaii,1683,349,432,469
22,Indiana,62372,7625,10616,14587
23,Kentucky,27082,5830,8627,11899
24,Minnesota,51153,5602,6716,8418
25,Oklahoma,31285,7039,7953,8947
26,Pennsylvania,111745,6966,8588,10313
27,South Carolina,81199,12097,11661,10366
28,District of Columbia,11780,624,866,1185
29,Kansas,25290,3631,4445,5043
30,Missouri,42160,10991,15915,21679
31,Vermont,1400,54,56,52
32,Virginia,84567,8837,11581,15666
33,Connecticut,48776,1020,1696,2280
34,Iowa,42357,3760,3930,4036
35,Louisiana,107574,17115,15441,15693
36,Ohio,84073,10593,12554,14186
37,Michigan,86661,5811,5983,6904
38,South Dakota,8395,515,547,606
39,Arkansas,38623,5639,6066,6009
40,Delaware,14290,855,932,1057
41,Mississippi,52154,11574,15935,21336
42,New Mexico,19042,2334,2738,3139
43,North Dakota,5876,1153,1583,2180
44,Wyoming,2475,377,477,549
45,Alaska,2525,767,812,947
46,Maine,3814,141,133,133
47,Alabama,79294,15170,18008,20128
48,Idaho,18178,3596,3481,3463
49,Montana,3341,1137,1559,1943
50,Puerto Rico,15143,NaN,NaN,NaN
51,Virgin Islands,352,NaN,NaN,NaN
52,Guam,337,NaN,NaN,NaN
53,West Virginia,5889,1068,1351,1595
54,Northern Mariana Islands,40,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
