,State,200,206,213,220,227,234
0,Washington,63072,5985,6602,7203,7674,7935
1,Illinois,195380,13191,14991,16435,17223,17271
2,California,559746,54479,60015,64128,65476,63719
3,Arizona,186923,7076,6452,5900,5320,4666
4,Massachusetts,114152,3233,4130,5197,6266,7114
5,Wisconsin,60554,7850,8376,8652,8730,8540
6,Texas,503328,49182,49088,47446,44378,40374
7,Nebraska,28432,1844,1974,2051,2067,2017
8,Utah,44127,3081,3083,3055,2970,2833
9,Oregon,21272,4338,4710,4980,5140,5176
10,Florida,532806,44493,41736,38186,34163,30060
11,New York,420860,8565,12173,17253,22616,26762
12,Rhode Island,19738,110,164,231,301,360
13,Georgia,216596,17516,17622,17149,16164,14802
14,New Hampshire,6835,325,386,460,531,593
15,North Carolina,139040,14506,14335,13896,13217,12367
16,New Jersey,184773,3160,3584,4028,4469,4849
17,Colorado,50642,4111,4750,5374,5893,6217
18,Maryland,95503,4647,4717,4727,4662,4536
19,Nevada,56230,4880,4742,4517,4200,3827
20,Tennessee,122712,13245,13061,12515,11760,10816
21,Hawaii,3498,1828,2219,2534,2751,2865
22,Indiana,74328,7672,8321,8773,8964,8902
23,Kentucky,34982,4911,5846,7062,8016,8311
24,Minnesota,60898,5465,5705,5827,5833,5706
25,Oklahoma,43566,8820,9110,9061,8747,8213
26,Pennsylvania,123312,8929,11048,13644,16080,17752
27,South Carolina,100435,10222,9616,8872,8058,7230
28,District of Columbia,12753,415,457,498,531,554
29,Kansas,30662,4512,4751,4846,4801,4630
30,Missouri,59383,9246,9970,10359,10374,10061
31,Vermont,1459,124,156,194,227,250
32,Virginia,100086,8821,9870,10643,11011,10985
33,Connecticut,50320,1097,1206,1322,1440,1543
34,Iowa,48919,3915,4060,4104,4031,3868
35,Louisiana,131399,8716,8872,8725,8196,7371
36,Ohio,100848,13425,14592,15430,15874,15909
37,Michigan,96726,8415,10166,11993,13526,14472
38,South Dakota,9605,470,441,412,384,355
39,Arkansas,49383,4952,5021,4936,4732,4415
40,Delaware,15575,642,647,650,644,628
41,Mississippi,67173,6710,6468,6055,5545,4992
42,New Mexico,22315,2019,2241,2444,2551,2552
43,North Dakota,7596,919,937,923,888,828
44,Wyoming,3050,393,444,488,513,523
45,Alaska,3711,1074,1184,1250,1266,1234
46,Maine,4044,202,245,309,384,442
47,Alabama,101334,11276,10711,9941,9051,8111
48,Idaho,24675,4421,4615,4558,4303,3931
49,Montana,4952,1139,1249,1316,1327,1287
50,Puerto Rico,22121,1172,1451,1669,1786,1823
51,Virgin Islands,528,28,32,34,36,37
52,Guam,418,13,15,18,18,18
53,West Virginia,7695,1350,1749,2168,2483,2620
54,Northern Mariana Islands,48,2,2,3,3,2
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
