,State,333,339,346,353
0,Washington,222600,18617,18598,19587
1,Illinois,900370,56595,52740,49471
2,California,1884033,303122,354889,391824
3,Arizona,453597,51458,56423,62881
4,Massachusetts,323531,33596,31507,28379
5,Wisconsin,492724,26555,25222,23461
6,Texas,1593471,124601,138800,149962
7,Nebraska,156382,8329,7943,7553
8,Utah,250964,18484,17983,17294
9,Oregon,102930,10925,11922,13059
10,Florida,1201566,84499,94151,102208
11,New York,848042,86168,94542,102815
12,Rhode Island,77812,7690,7545,7887
13,Georgia,587918,52865,59867,66054
14,New Hampshire,36542,6714,7209,8016
15,North Carolina,479168,49162,54202,60393
16,New Jersey,432592,33767,33172,33121
17,Colorado,308890,24819,23133,22179
18,Maryland,250808,20045,20480,21943
19,Nevada,203945,20140,20907,21886
20,Tennessee,519687,64696,69240,75933
21,Hawaii,20577,967,1059,1156
22,Indiana,464354,43811,42561,42063
23,Kentucky,242320,24151,24971,25842
24,Minnesota,397319,22679,20013,18792
25,Oklahoma,260838,24776,26475,27830
26,Pennsylvania,559256,77918,79963,83130
27,South Carolina,273406,24692,27730,31008
28,District of Columbia,26601,1966,2111,2301
29,Kansas,203654,18400,19344,20208
30,Missouri,374812,25104,24989,25043
31,Vermont,6443,950,1096,1300
32,Virginia,306848,30021,32688,36659
33,Connecticut,162782,15687,15642,15948
34,Iowa,267329,11896,11994,11020
35,Louisiana,286145,20360,22244,24985
36,Ohio,622806,76208,76782,80090
37,Michigan,496056,36764,35861,35304
38,South Dakota,94727,4234,3769,3414
39,Arkansas,201650,17954,19570,20456
40,Delaware,50616,6213,6783,7457
41,Mississippi,194333,16767,17768,18970
42,New Mexico,129993,11536,11043,10724
43,North Dakota,90035,3047,2403,2173
44,Wyoming,41662,2900,2914,2911
45,Alaska,43871,3677,3397,3326
46,Maine,18946,3823,4593,5385
47,Alabama,322452,31291,34991,38086
48,Idaho,129960,10185,10195,10392
49,Montana,77170,4761,4505,4365
50,Puerto Rico,68433,NaN,NaN,NaN
51,Virgin Islands,1921,NaN,NaN,NaN
52,Guam,7193,NaN,NaN,NaN
53,West Virginia,72342,10735,11930,12900
54,Northern Mariana Islands,116,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
