,State,305,311,318,325,332
0,Washington,2619,133,154,156,137
1,Illinois,12050,929,985,1085,824
2,California,18726,509,700,549,450
3,Arizona,6464,192,308,227,161
4,Massachusetts,10512,0,0,0,0
5,Wisconsin,3150,361,433,420,327
6,Texas,21013,956,1053,884,836
7,Nebraska,909,151,178,194,179
8,Utah,793,48,65,82,59
9,Oregon,820,80,98,118,106
10,Florida,17991,478,584,532,460
11,New York,34319,303,400,409,320
12,Rhode Island,1294,43,56,47,41
13,Georgia,9198,535,380,527,478
14,New Hampshire,512,21,29,34,26
15,North Carolina,5034,260,288,318,305
16,New Jersey,16761,208,281,267,199
17,Colorado,2806,280,340,327,227
18,Maryland,4434,146,185,176,140
19,Nevada,2017,95,134,94,75
20,Tennessee,4266,316,378,330,261
21,Hawaii,233,9,10,14,26
22,Indiana,5305,437,497,481,357
23,Kentucky,1787,200,240,244,233
24,Minnesota,3297,429,524,543,331
25,Oklahoma,1634,173,217,196,147
26,Pennsylvania,9816,383,545,448,317
27,South Carolina,4283,137,167,165,149
28,District of Columbia,670,11,18,19,21
29,Kansas,1410,186,219,241,196
30,Missouri,3578,563,578,630,572
31,Vermont,63,7,10,15,17
32,Virginia,3938,139,171,200,218
33,Connecticut,4828,106,132,123,93
34,Iowa,2202,308,341,373,304
35,Louisiana,6260,0,28,8,0
36,Ohio,5996,420,509,502,381
37,Michigan,8875,574,668,658,475
38,South Dakota,819,121,132,145,138
39,Arkansas,2357,165,182,193,175
40,Delaware,748,26,29,32,25
41,Mississippi,3676,132,152,148,139
42,New Mexico,1383,129,175,134,95
43,North Dakota,846,130,130,145,139
44,Wyoming,176,54,62,65,56
45,Alaska,103,33,33,54,62
46,Maine,176,24,28,39,44
47,Alabama,3457,194,220,240,222
48,Idaho,849,107,120,129,124
49,Montana,603,100,111,125,120
50,Puerto Rico,1017,NaN,NaN,NaN,NaN
51,Virgin Islands,23,NaN,NaN,NaN,NaN
52,Guam,103,NaN,NaN,NaN,NaN
53,West Virginia,662,91,122,109,90
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
