,Region,536,542,549,556,563
0,Belgium,,15255,32004,63400,114977
1,Bulgaria,,503,572,672,800
2,Czechia,,1966,3157,5105,8164
3,Denmark,,5468,8511,12698,17957
4,Germany,,4035,4164,4285,4311
5,Estonia,,437,723,1215,2030
6,Ireland,,4917,7131,10285,14238
7,Greece,,24344,57762,130723,267496
8,Spain,,215357,422204,754266,1166913
9,France,,45984,101885,223135,466352
10,Croatia,,565,665,811,1000
11,Italy,,14549,30204,61701,120643
12,Cyprus,,14152,29896,54336,76864
13,Latvia,,NaN,NaN,NaN,NaN
14,Lithuania,,NaN,NaN,NaN,NaN
15,Luxembourg,,NaN,NaN,NaN,NaN
16,Hungary,,NaN,NaN,NaN,NaN
17,Malta,,NaN,NaN,NaN,NaN
18,Netherlands,,291109,1462927,1660877,244388
19,Austria,,1520,3247,7064,14979
20,Poland,,NaN,NaN,NaN,NaN
21,Portugal,,NaN,NaN,NaN,NaN
22,Romania,,NaN,NaN,NaN,NaN
23,Slovenia,,NaN,NaN,NaN,NaN
24,Slovakia,,NaN,NaN,NaN,NaN
25,Finland,,NaN,NaN,NaN,NaN
26,Sweden,,NaN,NaN,NaN,NaN
27,United Kingdom,,288813,367250,438122,487048
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,1217,1121,982,810
31,Switzerland,,3044,6033,11799,22497
