,Region,655,661,668,675,682
0,Belgium,,57643,62107,65362,66977
1,Bulgaria,,27430,24529,21657,18860
2,Czechia,,90845,146929,186652,180978
3,Denmark,,20637,28111,31953,29227
4,Germany,,234931,308310,338143,296100
5,Estonia,,13549,13524,12651,11140
6,Ireland,,31484,40859,48765,52457
7,Greece,,48605,60771,62966,51182
8,Spain,,15443,16172,16831,17433
9,France,,50670,57063,63867,71026
10,Croatia,,44369,59106,63922,53617
11,Italy,,44194,54065,56817,48951
12,Cyprus,,1471,1641,1821,2008
13,Latvia,,12056,9651,7412,5475
14,Lithuania,,21276,20687,19411,17637
15,Luxembourg,,1436,1672,1930,2204
16,Hungary,,53209,84612,108725,110004
17,Malta,,NaN,NaN,NaN,NaN
18,Netherlands,,90010,117546,115180,74733
19,Austria,,69994,96594,101688,75440
20,Poland,,120613,166904,218306,282443
21,Portugal,,5975,6256,6638,7171
22,Romania,,49360,36934,27463,20284
23,Slovenia,,26389,31911,32738,27924
24,Slovakia,,43656,56276,70143,83797
25,Finland,,4239,4181,4070,3912
26,Sweden,,5635,5545,5434,5332
27,United Kingdom,,312349,289643,263835,238023
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,13455,18607,20627,17328
31,Switzerland,,19265,24942,31640,39183
