,Region,543,549,556,563,570
0,Belgium,,17192,28195,44169,65645
1,Bulgaria,,539,632,752,899
2,Czechia,,2493,3900,6038,9188
3,Denmark,,11337,18074,26731,36136
4,Germany,,13260,21826,34902,54013
5,Estonia,,508,755,1124,1653
6,Ireland,,10731,18154,29107,42911
7,Greece,,39109,86395,178004,324996
8,Spain,,290287,465392,684734,900377
9,France,,111082,244337,508793,972041
10,Croatia,,956,1295,1749,2341
11,Italy,,30303,62319,123697,235112
12,Cyprus,,7625,7983,8026,7794
13,Latvia,,275,341,462,650
14,Lithuania,,1066,2359,5190,11160
15,Luxembourg,,838,782,708,621
16,Hungary,,352,528,834,1334
17,Malta,,NaN,NaN,NaN,NaN
18,Netherlands,,73096,79923,79832,75392
19,Austria,,4177,9366,20449,42851
20,Poland,,628,688,759,834
21,Portugal,,27564,31334,33293,32725
22,Romania,,574,934,1606,2820
23,Slovenia,,444,621,863,1187
24,Slovakia,,130,137,161,206
25,Finland,,2432,2832,3188,3471
26,Sweden,,1955,2390,2932,3520
27,United Kingdom,,367380,438746,491205,514140
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,1041,910,765,617
31,Switzerland,,6300,12404,23757,44016
