,Region,627,633,640,647,654
0,Belgium,,13289,12927,12556,12190
1,Bulgaria,,16825,18940,21078,23170
2,Czechia,,6750,8499,10757,13686
3,Denmark,,4181,4880,5657,6518
4,Germany,,60891,62602,63582,63912
5,Estonia,,6904,7884,8674,9172
6,Ireland,,8014,7234,6390,5538
7,Greece,,14701,14095,13315,12399
8,Spain,,10606,8548,6767,5272
9,France,,20132,15926,12502,9748
10,Croatia,,9625,10036,10397,10705
11,Italy,,17208,14957,12824,10867
12,Cyprus,,563,477,403,339
13,Latvia,,14504,21108,28913,36654
14,Lithuania,,16182,18165,19629,20387
15,Luxembourg,,635,646,659,675
16,Hungary,,4786,5628,6606,7741
17,Malta,,NaN,NaN,NaN,NaN
18,Netherlands,,18547,23252,28825,35376
19,Austria,,11186,10422,9643,8869
20,Poland,,14184,19436,26591,36315
21,Portugal,,3796,3385,2978,2625
22,Romania,,119601,154212,193590,236250
23,Slovenia,,5047,4466,3899,3364
24,Slovakia,,12579,16479,21385,27423
25,Finland,,4056,4255,4389,4454
26,Sweden,,2423,1833,1375,1025
27,United Kingdom,,218537,201303,182563,163732
28,Iceland,,NaN,NaN,NaN,NaN
29,Liechtenstein,,NaN,NaN,NaN,NaN
30,Norway,,3845,4124,4344,4440
31,Switzerland,,5421,4331,3418,2667
