,Region,698,703,710,717
0,Belgium,,45977,31700,21786
1,Bulgaria,,8223,6960,5889
2,Czechia,,61939,49575,39687
3,Denmark,,72696,95344,125016
4,Germany,,263979,228534,197736
5,Estonia,,2454,2144,1873
6,Ireland,,28111,26781,25522
7,Greece,,27020,23147,19835
8,Spain,,326773,586398,1062529
9,France,,385306,414067,444985
10,Croatia,,17895,15362,13190
11,Italy,,190194,245242,316394
12,Cyprus,,5378,6156,7046
13,Latvia,,3786,3429,3105
14,Lithuania,,10755,10424,10104
15,Luxembourg,,3595,4112,4704
16,Hungary,,30947,24884,19391
17,Malta,,1050,1274,1545
18,Netherlands,,NaN,NaN,NaN
19,Austria,,12683,7719,4703
20,Poland,,142384,137086,130586
21,Portugal,,35420,40487,46275
22,Romania,,3601,2563,1823
23,Slovenia,,6285,4887,3800
24,Slovakia,,31448,22872,16657
25,Finland,,13906,16185,18837
26,Sweden,,NaN,NaN,NaN
27,United Kingdom,,565037,731854,928597
28,Iceland,,1051,1080,1110
29,Liechtenstein,,854,1192,1664
30,Norway,,48497,61415,77755
31,Switzerland,,66929,67701,68456
