,Region,488,493,500,507,514
0,Belgium,,14357,13129,12025,11013
1,Bulgaria,,1846,1278,884,611
2,Czechia,,3938,2742,1908,1328
3,Denmark,,8281,9129,10063,11092
4,Germany,,44504,35357,28076,22292
5,Estonia,,1444,1248,1078,932
6,Ireland,,461,259,140,79
7,Greece,,12956,12262,11601,10978
8,Spain,,NaN,NaN,NaN,NaN
9,France,,21678,9342,3795,1456
10,Croatia,,2673,1724,1111,717
11,Italy,,25050,17959,12741,9051
12,Cyprus,,670,396,234,138
13,Latvia,,3488,3279,3082,2897
14,Lithuania,,5609,4883,4247,3696
15,Luxembourg,,592,505,431,368
16,Hungary,,3073,2089,1419,964
17,Malta,,27,18,12,8
18,Netherlands,,22100,16539,12364,9249
19,Austria,,3063,2087,1423,970
20,Poland,,8108,4912,2958,1784
21,Portugal,,2684,2716,2751,2784
22,Romania,,2821,1923,1311,894
23,Slovenia,,2275,1857,1515,1237
24,Slovakia,,1130,852,643,485
25,Finland,,1188,1111,1040,972
26,Sweden,,18172,14541,11619,9289
27,United Kingdom,,9625,7984,6614,5475
28,Iceland,,52,57,63,69
29,Liechtenstein,,38,41,44,47
30,Norway,,2488,2380,2277,2178
31,Switzerland,,6334,5352,4525,3825
