,Region,600,605,612,619,626
0,Belgium,,13259,12911,12571,12239
1,Bulgaria,,9053,8526,8023,7551
2,Czechia,,2617,3221,3967,4884
3,Denmark,,2967,2281,1753,1347
4,Germany,,70641,69166,67628,66096
5,Estonia,,3497,4070,4737,5514
6,Ireland,,8160,7407,6648,5971
7,Greece,,12728,10456,8583,7045
8,Spain,,21018,15402,10999,7551
9,France,,46056,31807,22402,16835
10,Croatia,,7734,10279,13660,18154
11,Italy,,31362,27506,24048,21011
12,Cyprus,,1089,883,716,580
13,Latvia,,3569,5061,7176,10174
14,Lithuania,,6303,7176,8172,9305
15,Luxembourg,,604,642,683,726
16,Hungary,,2378,3335,4676,6557
17,Malta,,1162,2512,5432,11745
18,Netherlands,,15358,14485,13464,12333
19,Austria,,15119,18013,21462,25572
20,Poland,,3667,4815,6326,8307
21,Portugal,,7209,5479,4166,3165
22,Romania,,21722,34488,54754,86925
23,Slovenia,,8104,11879,17412,25522
24,Slovakia,,2816,4287,6530,9943
25,Finland,,3258,2943,2658,2401
26,Sweden,,7871,8232,8609,9003
27,United Kingdom,,245436,233003,221316,210228
28,Iceland,,753,1038,1432,1974
29,Liechtenstein,,67,82,101,123
30,Norway,,13245,16135,19648,23927
31,Switzerland,,24095,28589,34000,40430
