,Region,607,612,619,626,633
0,Belgium,,14318,14557,14804,15056
1,Bulgaria,,10976,11402,11847,12308
2,Czechia,,3749,4835,6236,8043
3,Denmark,,1862,1330,950,679
4,Germany,,56623,50568,45166,40347
5,Estonia,,3557,3966,4421,4929
6,Ireland,,9557,9523,9438,9597
7,Greece,,13819,12768,11807,10913
8,Spain,,15527,11319,8080,5651
9,France,,32184,22414,16555,11247
10,Croatia,,10450,13983,18712,25040
11,Italy,,26187,22428,19187,16416
12,Cyprus,,524,363,251,174
13,Latvia,,4849,6803,9545,13392
14,Lithuania,,8516,10320,12508,15159
15,Luxembourg,,607,638,669,702
16,Hungary,,3440,4859,6865,9698
17,Malta,,903,1836,3731,7581
18,Netherlands,,14003,12744,11563,10856
19,Austria,,17238,20058,23335,27148
20,Poland,,5543,7626,10494,14441
21,Portugal,,4974,3649,2673,1958
22,Romania,,43131,74880,130034,225763
23,Slovenia,,10843,15418,21922,31170
24,Slovakia,,5603,9159,14974,24479
25,Finland,,2759,2441,2159,1910
26,Sweden,,7444,7476,7505,7535
27,United Kingdom,,168662,140646,117269,97784
28,Iceland,,477,606,769,977
29,Liechtenstein,,68,81,96,114
30,Norway,,6428,5477,4649,3949
31,Switzerland,,15260,13803,12470,11268
