,Region,614,619,626
0,Belgium,,NaN,NaN
1,Bulgaria,,403,322
2,Czechia,,23,21
3,Denmark,,14,13
4,Germany,,414,388
5,Estonia,,20,22
6,Ireland,,NaN,NaN
7,Greece,,181,139
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,107,112
11,Italy,,327,275
12,Cyprus,,NaN,NaN
13,Latvia,,99,190
14,Lithuania,,130,144
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,31,20
19,Austria,,72,64
20,Poland,,NaN,NaN
21,Portugal,,43,33
22,Romania,,1244,1797
23,Slovenia,,NaN,NaN
24,Slovakia,,37,51
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,882,828
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,NaN,NaN
31,Switzerland,,NaN,NaN
