,Region,789,794,801
0,Belgium,,NaN,NaN
1,Bulgaria,,117,61
2,Czechia,,NaN,NaN
3,Denmark,,179,124
4,Germany,,1090,959
5,Estonia,,28,16
6,Ireland,,NaN,NaN
7,Greece,,347,318
8,Spain,,NaN,NaN
9,France,,676,583
10,Croatia,,75,55
11,Italy,,855,790
12,Cyprus,,7,3
13,Latvia,,81,81
14,Lithuania,,NaN,NaN
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,7,7
18,Netherlands,,87,80
19,Austria,,194,186
20,Poland,,511,375
21,Portugal,,NaN,NaN
22,Romania,,NaN,NaN
23,Slovenia,,19,11
24,Slovakia,,192,167
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,6,13
30,Norway,,1997,10204
31,Switzerland,,NaN,NaN
