,Region,684,689,696
0,Belgium,,NaN,NaN
1,Bulgaria,,632,540
2,Czechia,,NaN,NaN
3,Denmark,,89,94
4,Germany,,2458,2749
5,Estonia,,9,3
6,Ireland,,NaN,NaN
7,Greece,,556,396
8,Spain,,NaN,NaN
9,France,,849,1174
10,Croatia,,324,190
11,Italy,,561,589
12,Cyprus,,NaN,NaN
13,Latvia,,81,47
14,Lithuania,,114,77
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,0,0
18,Netherlands,,461,485
19,Austria,,403,344
20,Poland,,2991,3311
21,Portugal,,145,181
22,Romania,,581,375
23,Slovenia,,117,112
24,Slovakia,,681,874
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,840,827
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,21,14
31,Switzerland,,NaN,NaN
