,Region,544,549,556
0,Belgium,,NaN,NaN
1,Bulgaria,,66,105
2,Czechia,,53,98
3,Denmark,,6,11
4,Germany,,68,38
5,Estonia,,NaN,NaN
6,Ireland,,29,60
7,Greece,,44,34
8,Spain,,71,66
9,France,,97,80
10,Croatia,,8,6
11,Italy,,84,67
12,Cyprus,,NaN,NaN
13,Latvia,,NaN,NaN
14,Lithuania,,3,2
15,Luxembourg,,1,1
16,Hungary,,4,2
17,Malta,,0,0
18,Netherlands,,NaN,NaN
19,Austria,,NaN,NaN
20,Poland,,51,47
21,Portugal,,61,53
22,Romania,,4,0
23,Slovenia,,NaN,NaN
24,Slovakia,,3,2
25,Finland,,5,5
26,Sweden,,NaN,NaN
27,United Kingdom,,577,1007
28,Iceland,,0,0
29,Liechtenstein,,0,0
30,Norway,,5,11
31,Switzerland,,NaN,NaN
