,Region,481,486,493
0,Belgium,,182,145
1,Bulgaria,,178,99
2,Czechia,,157,101
3,Denmark,,2,1
4,Germany,,1093,856
5,Estonia,,14,8
6,Ireland,,NaN,NaN
7,Greece,,272,186
8,Spain,,NaN,NaN
9,France,,926,653
10,Croatia,,190,146
11,Italy,,1075,842
12,Cyprus,,NaN,NaN
13,Latvia,,NaN,NaN
14,Lithuania,,42,27
15,Luxembourg,,NaN,NaN
16,Hungary,,412,285
17,Malta,,NaN,NaN
18,Netherlands,,85,62
19,Austria,,44,18
20,Poland,,1545,1371
21,Portugal,,NaN,NaN
22,Romania,,432,312
23,Slovenia,,29,27
24,Slovakia,,175,145
25,Finland,,5,3
26,Sweden,,NaN,NaN
27,United Kingdom,,64,59
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,NaN,NaN
31,Switzerland,,NaN,NaN
