,Region,523,528,535
0,Belgium,,23,15
1,Bulgaria,,9,2
2,Czechia,,5,1
3,Denmark,,0,0
4,Germany,,184,101
5,Estonia,,3,2
6,Ireland,,1,0
7,Greece,,107,100
8,Spain,,NaN,NaN
9,France,,139,83
10,Croatia,,19,12
11,Italy,,131,88
12,Cyprus,,0,0
13,Latvia,,1,0
14,Lithuania,,8,4
15,Luxembourg,,0,0
16,Hungary,,13,5
17,Malta,,NaN,NaN
18,Netherlands,,17,20
19,Austria,,10,5
20,Poland,,75,34
21,Portugal,,22,17
22,Romania,,1415,2338
23,Slovenia,,5,4
24,Slovakia,,13,6
25,Finland,,0,0
26,Sweden,,NaN,NaN
27,United Kingdom,,188,289
28,Iceland,,0,0
29,Liechtenstein,,0,0
30,Norway,,NaN,NaN
31,Switzerland,,NaN,NaN
