,Region,670,675,682
0,Belgium,,NaN,NaN
1,Bulgaria,,848,704
2,Czechia,,806,1028
3,Denmark,,71,95
4,Germany,,1749,2041
5,Estonia,,41,27
6,Ireland,,NaN,NaN
7,Greece,,551,466
8,Spain,,NaN,NaN
9,France,,357,435
10,Croatia,,429,432
11,Italy,,407,410
12,Cyprus,,NaN,NaN
13,Latvia,,143,101
14,Lithuania,,182,166
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,361,465
19,Austria,,418,555
20,Poland,,3062,3221
21,Portugal,,76,87
22,Romania,,1654,1358
23,Slovenia,,NaN,NaN
24,Slovakia,,416,474
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,971,907
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,3,1
31,Switzerland,,NaN,NaN
