,Region,733,738,745
0,Belgium,,NaN,NaN
1,Bulgaria,,741,747
2,Czechia,,NaN,NaN
3,Denmark,,103,84
4,Germany,,644,352
5,Estonia,,24,20
6,Ireland,,NaN,NaN
7,Greece,,NaN,NaN
8,Spain,,NaN,NaN
9,France,,1570,1556
10,Croatia,,328,341
11,Italy,,2711,2884
12,Cyprus,,NaN,NaN
13,Latvia,,77,78
14,Lithuania,,NaN,NaN
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,28,34
18,Netherlands,,NaN,NaN
19,Austria,,86,78
20,Poland,,853,468
21,Portugal,,390,537
22,Romania,,406,516
23,Slovenia,,NaN,NaN
24,Slovakia,,NaN,NaN
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,7,1
31,Switzerland,,NaN,NaN
