,Region,488,493,500
0,Belgium,,123,106
1,Bulgaria,,145,92
2,Czechia,,73,38
3,Denmark,,5,4
4,Germany,,1170,1070
5,Estonia,,18,15
6,Ireland,,NaN,NaN
7,Greece,,333,302
8,Spain,,NaN,NaN
9,France,,327,167
10,Croatia,,139,100
11,Italy,,832,645
12,Cyprus,,NaN,NaN
13,Latvia,,87,103
14,Lithuania,,100,126
15,Luxembourg,,NaN,NaN
16,Hungary,,204,112
17,Malta,,0,0
18,Netherlands,,88,76
19,Austria,,47,31
20,Poland,,836,579
21,Portugal,,14,11
22,Romania,,303,216
23,Slovenia,,33,32
24,Slovakia,,31,11
25,Finland,,0,0
26,Sweden,,NaN,NaN
27,United Kingdom,,26,14
28,Iceland,,0,0
29,Liechtenstein,,0,0
30,Norway,,NaN,NaN
31,Switzerland,,NaN,NaN
