,Region,635,640,647
0,Belgium,,NaN,NaN
1,Bulgaria,,636,638
2,Czechia,,168,367
3,Denmark,,29,58
4,Germany,,310,228
5,Estonia,,NaN,NaN
6,Ireland,,NaN,NaN
7,Greece,,273,296
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,119,114
11,Italy,,239,224
12,Cyprus,,NaN,NaN
13,Latvia,,132,183
14,Lithuania,,242,278
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,NaN,NaN
19,Austria,,64,50
20,Poland,,NaN,NaN
21,Portugal,,65,61
22,Romania,,2643,3003
23,Slovenia,,24,19
24,Slovakia,,NaN,NaN
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,949,1056
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,NaN,NaN
31,Switzerland,,NaN,NaN
