,Region,495,500,507
0,Belgium,,70,46
1,Bulgaria,,128,94
2,Czechia,,59,32
3,Denmark,,20,41
4,Germany,,650,431
5,Estonia,,5,2
6,Ireland,,0,0
7,Greece,,202,132
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,67,36
11,Italy,,658,482
12,Cyprus,,4,3
13,Latvia,,29,17
14,Lithuania,,62,53
15,Luxembourg,,NaN,NaN
16,Hungary,,139,84
17,Malta,,NaN,NaN
18,Netherlands,,67,54
19,Austria,,57,54
20,Poland,,443,214
21,Portugal,,3,2
22,Romania,,277,206
23,Slovenia,,21,17
24,Slovakia,,32,22
25,Finland,,22,46
26,Sweden,,NaN,NaN
27,United Kingdom,,49,45
28,Iceland,,0,0
29,Liechtenstein,,0,0
30,Norway,,2,1
31,Switzerland,,NaN,NaN
