,Region,537,542,549
0,Belgium,,15,12
1,Bulgaria,,NaN,NaN
2,Czechia,,42,72
3,Denmark,,1,0
4,Germany,,127,92
5,Estonia,,2,6
6,Ireland,,1,0
7,Greece,,41,31
8,Spain,,NaN,NaN
9,France,,127,112
10,Croatia,,7,4
11,Italy,,99,71
12,Cyprus,,7,10
13,Latvia,,53,108
14,Lithuania,,6,3
15,Luxembourg,,NaN,NaN
16,Hungary,,21,42
17,Malta,,0,0
18,Netherlands,,3,1
19,Austria,,NaN,NaN
20,Poland,,57,41
21,Portugal,,110,216
22,Romania,,49,10
23,Slovenia,,8,19
24,Slovakia,,9,12
25,Finland,,3,2
26,Sweden,,8,6
27,United Kingdom,,406,729
28,Iceland,,0,0
29,Liechtenstein,,0,0
30,Norway,,1,0
31,Switzerland,,NaN,NaN
