,Region,677,682,689
0,Belgium,,NaN,NaN
1,Bulgaria,,744,638
2,Czechia,,NaN,NaN
3,Denmark,,93,125
4,Germany,,2464,3117
5,Estonia,,66,68
6,Ireland,,NaN,NaN
7,Greece,,637,595
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,377,255
11,Italy,,548,606
12,Cyprus,,NaN,NaN
13,Latvia,,171,144
14,Lithuania,,134,98
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,455,531
19,Austria,,461,564
20,Poland,,2435,2714
21,Portugal,,93,79
22,Romania,,909,603
23,Slovenia,,141,149
24,Slovakia,,520,650
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,620,382
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,50,39
31,Switzerland,,NaN,NaN
