,Region,656,661,668
0,Belgium,,NaN,NaN
1,Bulgaria,,1199,1334
2,Czechia,,764,1609
3,Denmark,,NaN,NaN
4,Germany,,885,876
5,Estonia,,NaN,NaN
6,Ireland,,NaN,NaN
7,Greece,,390,401
8,Spain,,NaN,NaN
9,France,,176,164
10,Croatia,,344,433
11,Italy,,279,272
12,Cyprus,,NaN,NaN
13,Latvia,,285,319
14,Lithuania,,236,207
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,312,498
19,Austria,,280,471
20,Poland,,503,473
21,Portugal,,67,100
22,Romania,,3263,3212
23,Slovenia,,105,136
24,Slovakia,,731,1558
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,1138,1099
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,27,41
31,Switzerland,,NaN,NaN
