,Region,782,787,794
0,Belgium,,NaN,NaN
1,Bulgaria,,188,132
2,Czechia,,NaN,NaN
3,Denmark,,NaN,NaN
4,Germany,,1243,1113
5,Estonia,,58,44
6,Ireland,,NaN,NaN
7,Greece,,315,236
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,90,61
11,Italy,,777,595
12,Cyprus,,41,51
13,Latvia,,63,44
14,Lithuania,,118,113
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,9,13
18,Netherlands,,NaN,NaN
19,Austria,,176,154
20,Poland,,586,383
21,Portugal,,NaN,NaN
22,Romania,,262,172
23,Slovenia,,37,21
24,Slovakia,,198,176
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,NaN,NaN
31,Switzerland,,NaN,NaN
