,Region,516,521,528
0,Belgium,,48,44
1,Bulgaria,,109,111
2,Czechia,,32,20
3,Denmark,,5,4
4,Germany,,344,211
5,Estonia,,NaN,NaN
6,Ireland,,NaN,NaN
7,Greece,,108,90
8,Spain,,NaN,NaN
9,France,,254,211
10,Croatia,,27,19
11,Italy,,153,81
12,Cyprus,,NaN,NaN
13,Latvia,,30,22
14,Lithuania,,24,20
15,Luxembourg,,0,0
16,Hungary,,20,11
17,Malta,,NaN,NaN
18,Netherlands,,14,9
19,Austria,,NaN,NaN
20,Poland,,121,63
21,Portugal,,NaN,NaN
22,Romania,,132,39
23,Slovenia,,9,6
24,Slovakia,,50,58
25,Finland,,1,0
26,Sweden,,0,0
27,United Kingdom,,86,96
28,Iceland,,0,0
29,Liechtenstein,,NaN,NaN
30,Norway,,NaN,NaN
31,Switzerland,,NaN,NaN
