,Region,642,647,654
0,Belgium,,NaN,NaN
1,Bulgaria,,999,1223
2,Czechia,,144,207
3,Denmark,,17,11
4,Germany,,583,701
5,Estonia,,39,40
6,Ireland,,12,15
7,Greece,,268,277
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,133,130
11,Italy,,271,279
12,Cyprus,,NaN,NaN
13,Latvia,,226,340
14,Lithuania,,185,147
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,51,48
19,Austria,,73,58
20,Poland,,230,216
21,Portugal,,30,20
22,Romania,,3449,4045
23,Slovenia,,79,147
24,Slovakia,,NaN,NaN
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,817,769
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,7,4
31,Switzerland,,NaN,NaN
