,Region,530,535,542
0,Belgium,,26,25
1,Bulgaria,,63,77
2,Czechia,,6,2
3,Denmark,,NaN,NaN
4,Germany,,155,84
5,Estonia,,NaN,NaN
6,Ireland,,11,10
7,Greece,,46,29
8,Spain,,NaN,NaN
9,France,,130,99
10,Croatia,,15,12
11,Italy,,152,120
12,Cyprus,,0,0
13,Latvia,,NaN,NaN
14,Lithuania,,13,14
15,Luxembourg,,0,0
16,Hungary,,NaN,NaN
17,Malta,,0,0
18,Netherlands,,NaN,NaN
19,Austria,,NaN,NaN
20,Poland,,68,46
21,Portugal,,NaN,NaN
22,Romania,,495,319
23,Slovenia,,NaN,NaN
24,Slovakia,,NaN,NaN
25,Finland,,5,7
26,Sweden,,0,0
27,United Kingdom,,116,97
28,Iceland,,0,0
29,Liechtenstein,,0,0
30,Norway,,1,1
31,Switzerland,,NaN,NaN
