,Region,705,710,717
0,Belgium,,NaN,NaN
1,Bulgaria,,NaN,NaN
2,Czechia,,NaN,NaN
3,Denmark,,NaN,NaN
4,Germany,,518,85
5,Estonia,,31,36
6,Ireland,,NaN,NaN
7,Greece,,438,326
8,Spain,,NaN,NaN
9,France,,1362,1537
10,Croatia,,320,293
11,Italy,,1153,1313
12,Cyprus,,5,2
13,Latvia,,NaN,NaN
14,Lithuania,,195,213
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,23,147
18,Netherlands,,176,103
19,Austria,,76,35
20,Poland,,NaN,NaN
21,Portugal,,278,501
22,Romania,,NaN,NaN
23,Slovenia,,54,44
24,Slovakia,,273,164
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,NaN,NaN
31,Switzerland,,NaN,NaN
