,Region,565,570,577
0,Belgium,,NaN,NaN
1,Bulgaria,,NaN,NaN
2,Czechia,,0,0
3,Denmark,,2,1
4,Germany,,92,86
5,Estonia,,10,25
6,Ireland,,0,0
7,Greece,,116,135
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,4,1
11,Italy,,191,237
12,Cyprus,,NaN,NaN
13,Latvia,,NaN,NaN
14,Lithuania,,17,26
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,NaN,NaN
19,Austria,,22,50
20,Poland,,NaN,NaN
21,Portugal,,88,83
22,Romania,,80,146
23,Slovenia,,17,91
24,Slovakia,,NaN,NaN
25,Finland,,25,105
26,Sweden,,NaN,NaN
27,United Kingdom,,665,705
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,9,21
31,Switzerland,,NaN,NaN
