,Region,803,808,815
0,Belgium,,NaN,NaN
1,Bulgaria,,102,79
2,Czechia,,NaN,NaN
3,Denmark,,124,86
4,Germany,,1583,1607
5,Estonia,,99,164
6,Ireland,,NaN,NaN
7,Greece,,492,591
8,Spain,,NaN,NaN
9,France,,913,1008
10,Croatia,,78,72
11,Italy,,912,853
12,Cyprus,,NaN,NaN
13,Latvia,,65,58
14,Lithuania,,60,42
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,121,103
19,Austria,,NaN,NaN
20,Poland,,NaN,NaN
21,Portugal,,NaN,NaN
22,Romania,,131,95
23,Slovenia,,57,80
24,Slovakia,,131,113
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,9,3
31,Switzerland,,NaN,NaN
