,Region,460,465,472
0,Belgium,,293,289
1,Bulgaria,,594,477
2,Czechia,,406,319
3,Denmark,,28,36
4,Germany,,1629,1605
5,Estonia,,49,41
6,Ireland,,31,24
7,Greece,,492,435
8,Spain,,NaN,NaN
9,France,,2038,2005
10,Croatia,,287,262
11,Italy,,1946,1618
12,Cyprus,,4,2
13,Latvia,,34,22
14,Lithuania,,107,122
15,Luxembourg,,NaN,NaN
16,Hungary,,1167,942
17,Malta,,21,48
18,Netherlands,,132,125
19,Austria,,184,165
20,Poland,,2623,1706
21,Portugal,,27,22
22,Romania,,1223,1256
23,Slovenia,,57,55
24,Slovakia,,219,101
25,Finland,,4,1
26,Sweden,,NaN,NaN
27,United Kingdom,,152,142
28,Iceland,,0,0
29,Liechtenstein,,9,80
30,Norway,,13,9
31,Switzerland,,131,211
