,Region,747,752,759
0,Belgium,,NaN,NaN
1,Bulgaria,,741,884
2,Czechia,,464,790
3,Denmark,,152,124
4,Germany,,1149,1115
5,Estonia,,28,25
6,Ireland,,NaN,NaN
7,Greece,,613,477
8,Spain,,NaN,NaN
9,France,,2040,2150
10,Croatia,,296,252
11,Italy,,2608,2586
12,Cyprus,,NaN,NaN
13,Latvia,,97,101
14,Lithuania,,132,141
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,28,38
18,Netherlands,,NaN,NaN
19,Austria,,206,287
20,Poland,,1835,1869
21,Portugal,,358,327
22,Romania,,1022,1521
23,Slovenia,,NaN,NaN
24,Slovakia,,109,75
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,2,7
30,Norway,,NaN,NaN
31,Switzerland,,NaN,NaN
