,Region,558,563,570
0,Belgium,,20,19
1,Bulgaria,,21,19
2,Czechia,,NaN,NaN
3,Denmark,,NaN,NaN
4,Germany,,75,43
5,Estonia,,NaN,NaN
6,Ireland,,4,2
7,Greece,,117,188
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,NaN,NaN
11,Italy,,116,98
12,Cyprus,,23,26
13,Latvia,,9,15
14,Lithuania,,7,8
15,Luxembourg,,1,2
16,Hungary,,18,41
17,Malta,,NaN,NaN
18,Netherlands,,65,103
19,Austria,,NaN,NaN
20,Poland,,11,7
21,Portugal,,211,385
22,Romania,,17,13
23,Slovenia,,6,12
24,Slovakia,,23,47
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,577,614
28,Iceland,,0,0
29,Liechtenstein,,0,0
30,Norway,,0,0
31,Switzerland,,NaN,NaN
