,Region,467,472,479
0,Belgium,,268,241
1,Bulgaria,,558,499
2,Czechia,,251,144
3,Denmark,,40,75
4,Germany,,1533,1476
5,Estonia,,31,26
6,Ireland,,17,9
7,Greece,,372,245
8,Spain,,NaN,NaN
9,France,,1846,1668
10,Croatia,,310,299
11,Italy,,1696,1418
12,Cyprus,,28,56
13,Latvia,,25,15
14,Lithuania,,96,93
15,Luxembourg,,NaN,NaN
16,Hungary,,1042,863
17,Malta,,3,3
18,Netherlands,,92,56
19,Austria,,130,108
20,Poland,,1823,1279
21,Portugal,,9,5
22,Romania,,723,551
23,Slovenia,,56,47
24,Slovakia,,170,111
25,Finland,,5,3
26,Sweden,,NaN,NaN
27,United Kingdom,,79,39
28,Iceland,,0,0
29,Liechtenstein,,NaN,NaN
30,Norway,,11,10
31,Switzerland,,NaN,NaN
