,Region,761,766,773
0,Belgium,,NaN,NaN
1,Bulgaria,,600,572
2,Czechia,,NaN,NaN
3,Denmark,,331,421
4,Germany,,1121,945
5,Estonia,,41,27
6,Ireland,,NaN,NaN
7,Greece,,489,417
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,353,351
11,Italy,,1773,1566
12,Cyprus,,NaN,NaN
13,Latvia,,124,143
14,Lithuania,,142,146
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,NaN,NaN
19,Austria,,NaN,NaN
20,Poland,,1697,1565
21,Portugal,,287,270
22,Romania,,931,903
23,Slovenia,,117,111
24,Slovakia,,126,105
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,771,593
28,Iceland,,NaN,NaN
29,Liechtenstein,,2,5
30,Norway,,1,0
31,Switzerland,,NaN,NaN
