,Region,474,479,486
0,Belgium,,252,224
1,Bulgaria,,504,484
2,Czechia,,216,123
3,Denmark,,5,3
4,Germany,,1568,1539
5,Estonia,,NaN,NaN
6,Ireland,,3,1
7,Greece,,489,442
8,Spain,,NaN,NaN
9,France,,1369,1136
10,Croatia,,266,241
11,Italy,,1341,1087
12,Cyprus,,22,24
13,Latvia,,139,227
14,Lithuania,,65,49
15,Luxembourg,,NaN,NaN
16,Hungary,,549,362
17,Malta,,2,3
18,Netherlands,,122,115
19,Austria,,119,100
20,Poland,,1381,949
21,Portugal,,10,7
22,Romania,,515,368
23,Slovenia,,12,5
24,Slovakia,,231,196
25,Finland,,7,6
26,Sweden,,NaN,NaN
27,United Kingdom,,43,26
28,Iceland,,0,0
29,Liechtenstein,,NaN,NaN
30,Norway,,NaN,NaN
31,Switzerland,,NaN,NaN
