,Region,740,745,752
0,Belgium,,NaN,NaN
1,Bulgaria,,434,374
2,Czechia,,122,92
3,Denmark,,182,222
4,Germany,,936,767
5,Estonia,,43,52
6,Ireland,,NaN,NaN
7,Greece,,744,730
8,Spain,,NaN,NaN
9,France,,2139,2410
10,Croatia,,408,467
11,Italy,,2670,2728
12,Cyprus,,NaN,NaN
13,Latvia,,72,57
14,Lithuania,,111,115
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,10,5
18,Netherlands,,NaN,NaN
19,Austria,,119,122
20,Poland,,1165,1027
21,Portugal,,290,286
22,Romania,,604,760
23,Slovenia,,93,95
24,Slovakia,,96,48
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,1626,1534
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,6,2
31,Switzerland,,NaN,NaN
