,Region,768,773,780
0,Belgium,,NaN,NaN
1,Bulgaria,,304,206
2,Czechia,,NaN,NaN
3,Denmark,,326,375
4,Germany,,1314,1267
5,Estonia,,63,59
6,Ireland,,NaN,NaN
7,Greece,,343,247
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,148,92
11,Italy,,1254,989
12,Cyprus,,NaN,NaN
13,Latvia,,215,317
14,Lithuania,,205,260
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,NaN,NaN
19,Austria,,NaN,NaN
20,Poland,,1599,1534
21,Portugal,,106,50
22,Romania,,736,641
23,Slovenia,,61,39
24,Slovakia,,300,430
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,NaN,NaN
31,Switzerland,,NaN,NaN
