,Region,600,605,612
0,Belgium,,NaN,NaN
1,Bulgaria,,534,557
2,Czechia,,8,9
3,Denmark,,45,87
4,Germany,,468,655
5,Estonia,,36,77
6,Ireland,,NaN,NaN
7,Greece,,295,286
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,120,193
11,Italy,,445,428
12,Cyprus,,12,10
13,Latvia,,38,56
14,Lithuania,,90,100
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,NaN,NaN
19,Austria,,86,168
20,Poland,,66,89
21,Portugal,,44,26
22,Romania,,476,750
23,Slovenia,,22,36
24,Slovakia,,30,95
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,796,746
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,18,29
31,Switzerland,,NaN,NaN
