,Region,509,514,521
0,Belgium,,36,22
1,Bulgaria,,36,15
2,Czechia,,68,69
3,Denmark,,NaN,NaN
4,Germany,,395,265
5,Estonia,,2,1
6,Ireland,,0,0
7,Greece,,107,73
8,Spain,,NaN,NaN
9,France,,215,123
10,Croatia,,47,40
11,Italy,,525,550
12,Cyprus,,17,34
13,Latvia,,55,59
14,Lithuania,,18,11
15,Luxembourg,,0,0
16,Hungary,,30,13
17,Malta,,0,0
18,Netherlands,,NaN,NaN
19,Austria,,5,1
20,Poland,,317,242
21,Portugal,,24,35
22,Romania,,1976,3502
23,Slovenia,,19,21
24,Slovakia,,22,11
25,Finland,,5,5
26,Sweden,,NaN,NaN
27,United Kingdom,,101,130
28,Iceland,,0,0
29,Liechtenstein,,NaN,NaN
30,Norway,,3,2
31,Switzerland,,NaN,NaN
