,Region,712,717,724
0,Belgium,,NaN,NaN
1,Bulgaria,,NaN,NaN
2,Czechia,,NaN,NaN
3,Denmark,,NaN,NaN
4,Germany,,1274,977
5,Estonia,,42,43
6,Ireland,,NaN,NaN
7,Greece,,NaN,NaN
8,Spain,,NaN,NaN
9,France,,1577,1783
10,Croatia,,251,215
11,Italy,,1081,1127
12,Cyprus,,14,20
13,Latvia,,72,67
14,Lithuania,,102,69
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,6,7
18,Netherlands,,181,116
19,Austria,,NaN,NaN
20,Poland,,3261,3490
21,Portugal,,176,214
22,Romania,,221,177
23,Slovenia,,78,96
24,Slovakia,,241,163
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,NaN,NaN
31,Switzerland,,NaN,NaN
