,Region,628,633,640
0,Belgium,,NaN,NaN
1,Bulgaria,,656,687
2,Czechia,,42,56
3,Denmark,,2,1
4,Germany,,499,565
5,Estonia,,85,135
6,Ireland,,1,0
7,Greece,,206,190
8,Spain,,NaN,NaN
9,France,,117,75
10,Croatia,,111,110
11,Italy,,213,165
12,Cyprus,,NaN,NaN
13,Latvia,,94,94
14,Lithuania,,171,169
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,12,7
19,Austria,,75,84
20,Poland,,NaN,NaN
21,Portugal,,47,37
22,Romania,,2751,4022
23,Slovenia,,46,46
24,Slovakia,,NaN,NaN
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,662,566
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,4,2
31,Switzerland,,NaN,NaN
