,Region,726,731,738
0,Belgium,,NaN,NaN
1,Bulgaria,,471,360
2,Czechia,,NaN,NaN
3,Denmark,,117,104
4,Germany,,1204,949
5,Estonia,,41,62
6,Ireland,,NaN,NaN
7,Greece,,715,862
8,Spain,,NaN,NaN
9,France,,1616,1624
10,Croatia,,162,104
11,Italy,,1511,1430
12,Cyprus,,26,29
13,Latvia,,101,112
14,Lithuania,,NaN,NaN
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,27,41
18,Netherlands,,32,11
19,Austria,,39,18
20,Poland,,2212,2067
21,Portugal,,384,688
22,Romania,,203,191
23,Slovenia,,39,28
24,Slovakia,,493,704
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,2384,3137
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,286,669
31,Switzerland,,NaN,NaN
