,Region,719,724,731
0,Belgium,,NaN,NaN
1,Bulgaria,,604,622
2,Czechia,,272,192
3,Denmark,,137,183
4,Germany,,1491,1391
5,Estonia,,12,6
6,Ireland,,NaN,NaN
7,Greece,,NaN,NaN
8,Spain,,NaN,NaN
9,France,,1722,1929
10,Croatia,,252,242
11,Italy,,1716,2023
12,Cyprus,,NaN,NaN
13,Latvia,,74,52
14,Lithuania,,101,83
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,27,73
18,Netherlands,,42,13
19,Austria,,79,63
20,Poland,,1187,706
21,Portugal,,NaN,NaN
22,Romania,,167,133
23,Slovenia,,35,22
24,Slovakia,,221,178
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,2142,3376
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,41,71
31,Switzerland,,NaN,NaN
