,Region,621,626,633
0,Belgium,,NaN,NaN
1,Bulgaria,,628,677
2,Czechia,,39,39
3,Denmark,,26,29
4,Germany,,407,383
5,Estonia,,12,9
6,Ireland,,13,21
7,Greece,,231,223
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,63,40
11,Italy,,277,210
12,Cyprus,,NaN,NaN
13,Latvia,,70,86
14,Lithuania,,196,248
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,36,29
19,Austria,,43,30
20,Poland,,104,115
21,Portugal,,107,211
22,Romania,,1676,2308
23,Slovenia,,42,35
24,Slovakia,,NaN,NaN
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,647,520
28,Iceland,,NaN,NaN
29,Liechtenstein,,NaN,NaN
30,Norway,,7,5
31,Switzerland,,NaN,NaN
