,Region,754,759,766
0,Belgium,,NaN,NaN
1,Bulgaria,,582,466
2,Czechia,,557,780
3,Denmark,,289,393
4,Germany,,1457,1658
5,Estonia,,94,147
6,Ireland,,NaN,NaN
7,Greece,,571,462
8,Spain,,NaN,NaN
9,France,,2378,2633
10,Croatia,,309,275
11,Italy,,1936,1629
12,Cyprus,,NaN,NaN
13,Latvia,,84,71
14,Lithuania,,106,90
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,24,24
18,Netherlands,,NaN,NaN
19,Austria,,159,164
20,Poland,,1643,1737
21,Portugal,,270,225
22,Romania,,1045,1153
23,Slovenia,,100,83
24,Slovakia,,123,99
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,0,0
30,Norway,,NaN,NaN
31,Switzerland,,NaN,NaN
