,Region,775,780,787
0,Belgium,,NaN,NaN
1,Bulgaria,,260,171
2,Czechia,,NaN,NaN
3,Denmark,,NaN,NaN
4,Germany,,1162,1021
5,Estonia,,79,84
6,Ireland,,NaN,NaN
7,Greece,,350,260
8,Spain,,NaN,NaN
9,France,,NaN,NaN
10,Croatia,,134,91
11,Italy,,1106,900
12,Cyprus,,NaN,NaN
13,Latvia,,118,111
14,Lithuania,,111,91
15,Luxembourg,,NaN,NaN
16,Hungary,,NaN,NaN
17,Malta,,NaN,NaN
18,Netherlands,,186,274
19,Austria,,249,261
20,Poland,,978,780
21,Portugal,,NaN,NaN
22,Romania,,484,367
23,Slovenia,,NaN,NaN
24,Slovakia,,257,259
25,Finland,,NaN,NaN
26,Sweden,,NaN,NaN
27,United Kingdom,,NaN,NaN
28,Iceland,,NaN,NaN
29,Liechtenstein,,0,0
30,Norway,,NaN,NaN
31,Switzerland,,NaN,NaN
