,State,445,451,458,465,472,479
0,Washington,5322,62,72,85,99,112
1,Illinois,23793,182,223,273,327,377
2,California,60452,613,552,511,478,444
3,Arizona,17086,73,74,81,93,108
4,Massachusetts,17387,165,174,178,175,164
5,Wisconsin,7380,60,70,81,95,107
6,Texas,49212,473,454,454,463,472
7,Nebraska,2220,25,28,32,37,41
8,Utah,2159,27,27,28,29,29
9,Oregon,2440,41,50,62,76,91
10,Florida,34021,447,482,532,591,650
11,New York,51117,565,564,572,590,610
12,Rhode Island,2638,16,17,18,18,17
13,Georgia,19488,236,235,253,289,338
14,New Hampshire,1257,12,14,16,18,18
15,North Carolina,12248,111,123,142,167,196
16,New Jersey,24870,257,262,258,243,219
17,Colorado,6157,39,47,57,69,81
18,Maryland,8455,123,154,197,253,320
19,Nevada,5332,50,58,71,88,108
20,Tennessee,12001,91,93,99,107,118
21,Hawaii,471,5,7,9,12,16
22,Indiana,13148,73,84,98,112,127
23,Kentucky,6250,94,90,91,99,111
24,Minnesota,7035,77,90,103,113,120
25,Oklahoma,6669,38,36,35,35,36
26,Pennsylvania,25393,259,290,319,341,351
27,South Carolina,9276,71,68,68,72,77
28,District of Columbia,1081,14,16,19,22,25
29,Kansas,4895,20,21,22,25,27
30,Missouri,8885,46,53,62,74,88
31,Vermont,231,4,5,6,8,9
32,Virginia,10472,140,148,157,166,171
33,Connecticut,7944,46,50,53,54,53
34,Iowa,5857,68,72,79,90,101
35,Louisiana,10216,67,83,110,148,196
36,Ohio,18917,188,194,196,192,182
37,Michigan,17563,425,564,695,803,875
38,South Dakota,1946,7,8,9,11,13
39,Arkansas,5661,31,27,27,28,32
40,Delaware,1578,19,23,28,34,39
41,Mississippi,7096,38,36,35,35,36
42,New Mexico,3976,24,25,26,27,27
43,North Dakota,1502,5,6,8,10,13
44,Wyoming,701,3,3,3,3,3
45,Alaska,313,4,4,5,7,8
46,Maine,750,9,11,13,16,19
47,Alabama,10712,73,67,66,67,70
48,Idaho,1993,21,24,29,35,43
49,Montana,1523,25,27,31,35,40
50,Puerto Rico,2155,35,52,75,106,145
51,Virgin Islands,26,NaN,NaN,NaN,NaN,NaN
52,Guam,136,NaN,NaN,NaN,NaN,NaN
53,West Virginia,2745,66,77,88,99,109
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
