,State,760,766,773,780,787,794
0,Washington,NaN,300,246,187,132,89
1,Illinois,NaN,496,357,246,163,104
2,California,NaN,1205,987,754,542,369
3,Arizona,NaN,430,336,248,174,117
4,Massachusetts,NaN,213,143,92,57,34
5,Wisconsin,NaN,161,120,86,60,40
6,Texas,NaN,1281,1068,832,610,425
7,Nebraska,NaN,78,61,44,29,19
8,Utah,NaN,79,61,44,30,19
9,Oregon,NaN,82,63,45,30,20
10,Florida,NaN,985,786,590,421,287
11,New York,NaN,369,232,141,83,48
12,Rhode Island,NaN,22,14,8,5,3
13,Georgia,NaN,507,425,335,251,180
14,New Hampshire,NaN,36,28,20,14,9
15,North Carolina,NaN,363,276,196,132,85
16,New Jersey,NaN,239,175,132,105,86
17,Colorado,NaN,152,109,75,49,31
18,Maryland,NaN,104,71,48,32,21
19,Nevada,NaN,134,102,74,51,34
20,Tennessee,NaN,532,431,328,237,163
21,Hawaii,NaN,31,25,18,12,7
22,Indiana,NaN,321,247,183,131,91
23,Kentucky,NaN,232,198,154,110,73
24,Minnesota,NaN,147,112,80,54,35
25,Oklahoma,NaN,343,295,229,162,106
26,Pennsylvania,NaN,440,340,278,242,219
27,South Carolina,NaN,373,305,228,157,101
28,District of Columbia,NaN,6,4,2,1,0
29,Kansas,NaN,127,99,71,48,31
30,Missouri,NaN,397,326,246,173,114
31,Vermont,NaN,14,11,8,6,4
32,Virginia,NaN,409,343,277,218,166
33,Connecticut,NaN,81,56,37,24,15
34,Iowa,NaN,122,95,71,52,37
35,Louisiana,NaN,288,232,173,121,80
36,Ohio,NaN,509,366,253,170,111
37,Michigan,NaN,383,291,212,149,100
38,South Dakota,NaN,31,22,15,9,5
39,Arkansas,NaN,218,176,130,89,56
40,Delaware,NaN,38,28,19,13,8
41,Mississippi,NaN,267,213,155,105,66
42,New Mexico,NaN,97,75,53,36,23
43,North Dakota,NaN,22,17,12,8,5
44,Wyoming,NaN,22,18,13,9,6
45,Alaska,NaN,23,18,13,9,6
46,Maine,NaN,29,26,23,20,18
47,Alabama,NaN,220,165,114,74,45
48,Idaho,NaN,126,117,100,79,59
49,Montana,NaN,31,26,20,14,10
50,Puerto Rico,NaN,40,25,14,8,4
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,128,113,93,70,50
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN
