,Region,536,542,549,556,563,570,577
0,Belgium,,2972,3533,4015,4450,4806,5050
1,Bulgaria,,273,259,275,307,344,384
2,Czechia,,1454,1832,2030,2039,2016,2018
3,Denmark,,5644,6956,5542,4982,4636,4332
4,Germany,,5382,5621,5728,5820,5908,5988
5,Estonia,,275,316,334,343,346,346
6,Ireland,,3967,4354,4559,4631,4627,4564
7,Greece,,26278,34220,23360,19440,17898,16875
8,Spain,,152082,207273,166582,140663,126436,116412
9,France,,28830,32125,31716,29960,28574,27619
10,Croatia,,444,431,438,438,442,433
11,Italy,,9296,10486,10618,10630,10624,10626
12,Cyprus,,9370,16789,22019,18458,12466,10724
13,Latvia,,231,206,217,237,262,286
14,Lithuania,,250,285,303,307,303,300
15,Luxembourg,,716,867,917,868,799,736
16,Hungary,,145,127,130,144,168,190
17,Malta,,614,1192,882,648,540,480
18,Netherlands,,65820,81249,51422,40808,36398,34084
19,Austria,,1252,1358,1189,1182,1178,1164
20,Poland,,415,387,436,538,661,802
21,Portugal,,22260,30046,34829,32824,30637,30190
22,Romania,,206,190,200,218,242,263
23,Slovenia,,623,854,771,695,637,590
24,Slovakia,,101,88,105,129,153,177
25,Finland,,1807,2114,2193,2116,2028,1918
26,Sweden,,2026,2036,2026,2015,2029,2018
27,United Kingdom,,292921,407504,460778,384449,334342,302742
28,Iceland,,0,0,0,0,0,0
29,Liechtenstein,,7,7,7,7,7,7
30,Norway,,1183,1167,1175,1183,1195,1198
31,Switzerland,,1248,1494,1611,1625,1591,1556
